"Einheit";"Haus";"Wohnung";"Wohngebiet";"Geschoss";"Wohnfläche";"Raumanzahl";"Dusche";"Wanne";"Aufzug";"Balkon/Terasse";"Einstufung Mietkosten";"Geschlecht";"Einzug";"Wohndauer in Monaten";"Altereinstufung";"Personenanzahl";"Haustier";"Mahnverfahren"
163;5;49;"Innenstadt";"Erdgeschoss";74.19;3;"ja";"nein";"nein";"ja";3;"W";05/01/19;40;5;1;"nein";"nein"
163;5;49;"Innenstadt";"Erdgeschoss";74.19;3;"ja";"nein";"nein";"ja";4;"W";10/01/23;2;4;2;"nein";"nein"
56;2;11;"Innenstadt";"Erdgeschoss";71.82;3;"nein";"ja";"nein";"ja";3;"M";07/01/14;69;2;1;"ja";"nein"
56;2;11;"Innenstadt";"Erdgeschoss";71.82;3;"nein";"ja";"nein";"ja";3;"M";09/01/20;39;4;2;"nein";"nein"
76;3;33;"Innenstadt";"1. Obergeschoss";53.06;2;"nein";"ja";"nein";"ja";2;"M";04/01/17;80;3;1;"nein";"nein"
174;1;18;"Innenstadt";"1. Obergeschoss";48.34;2;"ja";"nein";"nein";"nein";2;"M";07/01/16;89;2;1;"nein";"nein"
213;3;30;"Innenstadt";"2. Obergeschoss";53.06;2;"nein";"ja";"nein";"ja";2;"M";07/01/00;281;4;2;"nein";"nein"
7;2;9;"Innenstadt";"2. Obergeschoss";48.34;2;"nein";"ja";"nein";"nein";2;"W";09/01/13;123;2;1;"ja";"ja"
51;1;7;"Innenstadt";"2. Obergeschoss";51.24;2;"nein";"ja";"nein";"ja";2;"W";01/01/05;203;4;2;"nein";"nein"
51;1;7;"Innenstadt";"2. Obergeschoss";51.24;2;"nein";"ja";"nein";"ja";2;"W";07/01/22;17;3;1;"nein";"nein"
126;3;24;"Innenstadt";"Erdgeschoss";73.04;3;"nein";"ja";"nein";"ja";3;"M";04/01/15;104;3;1;"nein";"nein"
106;1;108;"Innenstadt";"Erdgeschoss";75.65;3;"nein";"ja";"nein";"ja";3;"W";01/01/00;287;3;3;"nein";"ja"
206;2;16;"Innenstadt";"1. Obergeschoss";54.09;2;"nein";"ja";"nein";"ja";2;"W";12/01/18;60;4;1;"nein";"nein"
246;1;21;"Innenstadt";"1. Obergeschoss";47.58;2;"nein";"ja";"nein";"nein";2;"W";10/01/18;21;2;2;"nein";"nein"
246;1;21;"Innenstadt";"1. Obergeschoss";47.58;2;"nein";"ja";"nein";"nein";2;"W";03/01/21;25;3;1;"nein";"nein"
246;1;21;"Innenstadt";"1. Obergeschoss";47.58;2;"nein";"ja";"nein";"nein";2;"W";05/01/23;7;2;1;"nein";"nein"
88;4;44;"Innenstadt";"1. Obergeschoss";55.41;2;"nein";"ja";"nein";"ja";2;"W";08/01/10;160;4;1;"nein";"ja"
68;2;11;"Innenstadt";"2. Obergeschoss";54.09;2;"nein";"ja";"nein";"ja";2;"W";11/01/01;265;3;2;"nein";"nein"
146;2;18;"Innenstadt";"2. Obergeschoss";47.58;2;"nein";"ja";"nein";"nein";2;"W";05/01/07;199;4;1;"nein";"nein"
62;1;2;"Innenstadt";"2. Obergeschoss";55.41;2;"nein";"ja";"nein";"ja";2;"M";03/01/56;813;5;2;"nein";"nein"
125;9;87;"Innenstadt";"Erdgeschoss";95.66;4;"nein";"ja";"nein";"nein";3;"W";06/01/08;;3;4;"ja";"ja"
63;4;32;"Innenstadt";"1. Obergeschoss";70.1;3;"nein";"ja";"nein";"ja";3;"M";06/01/80;522;4;2;"nein";"nein"
65;5;33;"Innenstadt";"1. Obergeschoss";63.09;3;"ja";"nein";"nein";"nein";3;"W";05/01/19;45;2;2;"nein";"nein"
65;5;33;"Innenstadt";"1. Obergeschoss";63.09;3;"ja";"nein";"nein";"nein";3;"M";07/01/23;5;2;1;"nein";"nein"
122;2;16;"Innenstadt";"1. Obergeschoss";66.36;3;"nein";"ja";"nein";"ja";2;"M";12/01/94;348;4;1;"nein";"nein"
213;1;3;"Innenstadt";"2. Obergeschoss";70.1;3;"nein";"ja";"nein";"ja";3;"W";09/01/16;55;2;2;"nein";"ja"
213;1;3;"Innenstadt";"2. Obergeschoss";70.1;3;"nein";"ja";"nein";"ja";3;"M";05/01/21;31;2;1;"nein";"nein"
68;2;16;"Innenstadt";"2. Obergeschoss";63.09;3;"nein";"ja";"nein";"nein";2;"W";04/01/95;344;3;3;"nein";"nein"
28;2;11;"Innenstadt";"2. Obergeschoss";66.36;3;"nein";"ja";"nein";"ja";2;"W";10/01/81;477;5;2;"nein";"nein"
115;2;10;"Innenstadt";"3. Obergeschoss";65.63;3;"nein";"ja";"nein";"nein";3;"M";03/01/20;45;5;1;"nein";"nein"
213;2;20;"Innenstadt";"3. Obergeschoss";63.09;3;"nein";"ja";"nein";"nein";3;"M";01/01/18;40;2;3;"ja";"nein"
213;2;20;"Innenstadt";"3. Obergeschoss";63.09;3;"nein";"ja";"nein";"nein";3;"W";08/01/21;20;3;3;"nein";"nein"
213;2;20;"Innenstadt";"3. Obergeschoss";63.09;3;"nein";"ja";"nein";"nein";3;"W";07/01/23;5;2;2;"nein";"nein"
80;1;3;"Innenstadt";"3. Obergeschoss";66.36;3;"nein";"ja";"nein";"nein";2;"W";09/01/01;260;5;1;"nein";"nein"
76;1;7;"Innenstadt";"Erdgeschoss";91.82;4;"nein";"ja";"nein";"nein";3;"W";01/01/13;131;5;1;"nein";"nein"
149;3;23;"Innenstadt";"Erdgeschoss";67.8;3;"ja";"nein";"nein";"nein";3;"M";12/01/19;48;4;2;"nein";"nein"
119;3;18;"Innenstadt";"Erdgeschoss";67.23;3;"nein";"ja";"nein";"nein";3;"W";03/01/04;237;5;1;"nein";"nein"
353;2;11;"Innenstadt";"1. Obergeschoss";67.03;3;"nein";"ja";"nein";"nein";3;"M";03/01/04;237;4;2;"nein";"nein"
9;2;13;"Innenstadt";"1. Obergeschoss";70.96;3;"nein";"ja";"nein";"ja";3;"W";11/01/14;82;5;1;"nein";"nein"
9;2;13;"Innenstadt";"1. Obergeschoss";70.96;3;"nein";"ja";"nein";"ja";3;"W";06/01/22;18;3;2;"nein";"nein"
72;2;16;"Innenstadt";"2. Obergeschoss";67.03;3;"nein";"ja";"nein";"nein";2;"M";06/01/76;534;4;2;"nein";"nein"
72;2;16;"Innenstadt";"2. Obergeschoss";67.03;3;"nein";"ja";"nein";"nein";2;"W";01/01/21;35;4;1;"nein";"nein"
145;4;39;"Innenstadt";"2. Obergeschoss";70.96;3;"nein";"ja";"nein";"ja";3;"M";07/01/16;89;3;1;"nein";"nein"
156;5;45;"Innenstadt";"Erdgeschoss";67.12;3;"nein";"ja";"nein";"nein";2;"W";08/01/91;388;4;2;"nein";"nein"
91;3;32;"Innenstadt";"Erdgeschoss";66.37;3;"ja";"nein";"nein";"nein";2;"W";03/01/57;778;5;2;"nein";"nein"
91;3;32;"Innenstadt";"Erdgeschoss";66.37;3;"ja";"nein";"nein";"nein";3;"W";10/01/22;14;5;1;"nein";"nein"
53;3;21;"Innenstadt";"1. Obergeschoss";67.12;3;"nein";"ja";"nein";"nein";3;"W";12/01/17;57;5;1;"nein";"nein"
53;3;21;"Innenstadt";"1. Obergeschoss";67.12;3;"nein";"ja";"nein";"nein";3;"M";01/01/23;11;2;2;"nein";"nein"
